County/City,,,"Hillary R. Clinton","Donald J. Trump","Gary Johnson","Evan McMullin","Jill Stein","All Others","Total Votes Cast"
,,,Democratic,Republican,Libertarian,Independent,Green
"Accomack County",,,"6,740","8,583",264,112,66,53,"15,818"
"Albemarle County",,,"33,345","19,259","2,105","1,059",450,508,"56,726"
"Alexandria City",,,"57,242","13,285","2,020","1,398",592,"1,233","75,770"
"Alleghany County",,,"2,166","4,874",164,69,35,17,"7,325"
"Amelia County",,,"2,128","4,708",129,41,11,23,"7,040"
"Amherst County",,,"5,057","9,719",317,159,65,79,"15,396"
"Appomattox County",,,"2,023","5,715",136,50,31,56,"8,011"
"Arlington County",,,"92,016","20,186","3,827","2,594",819,"1,914","121,356"
"Augusta County",,,"8,177","26,163","1,099",502,200,202,"36,343"
"Bath County",,,603,"1,548",56,22,15,9,"2,253"
"Bedford County",,,"9,768","30,659","1,074",627,176,221,"42,525"
"Bland County",,,453,"2,573",61,21,17,14,"3,139"
"Botetourt County",,,"4,494","13,375",497,185,101,87,"18,739"
"Bristol City",,,"1,835","4,892",136,64,50,55,"7,032"
"Brunswick County",,,"4,481","3,046",72,30,25,15,"7,669"
"Buchanan County",,,"1,721","7,296",122,59,24,25,"9,247"
"Buckingham County",,,"3,128","3,950",102,58,27,30,"7,295"
"Buena Vista City",,,693,"1,430",83,174,13,14,"2,407"
"Campbell County",,,"6,664","19,551",665,419,102,134,"27,535"
"Caroline County",,,"6,432","7,147",368,154,99,663,"14,863"
"Carroll County",,,"2,559","10,663",220,88,69,69,"13,668"
"Charles City County",,,"2,496","1,476",67,39,15,14,"4,107"
"Charlotte County",,,"2,155","3,479",111,38,11,14,"5,808"
"Charlottesville City",,,"17,901","2,960",785,383,230,213,"22,472"
"Chesapeake City",,,"52,627","54,047","3,458","1,146",698,729,"112,705"
"Chesterfield County",,,"81,074","85,045","6,247","2,004",990,"1,101","176,461"
"Clarke County",,,"3,051","4,661",261,111,55,74,"8,213"
"Colonial Heights City",,,"2,367","5,681",247,88,44,30,"8,457"
"Covington City",,,914,"1,349",73,25,8,13,"2,382"
"Craig County",,,541,"2,140",54,30,20,9,"2,794"
"Culpeper County",,,"7,759","13,349",584,242,176,108,"22,218"
"Cumberland County",,,"2,036","2,697",95,32,24,22,"4,906"
"Danville City",,,"11,059","7,303",315,117,73,85,"18,952"
"Dickenson County",,,"1,335","4,932",81,43,14,35,"6,440"
"Dinwiddie County",,,"5,765","7,447",196,79,46,42,"13,575"
"Emporia City",,,"1,530",789,26,8,10,4,"2,367"
"Essex County",,,"2,542","2,657",113,25,18,53,"5,408"
"Fairfax County",,,"355,133","157,710","15,664","10,369","4,477","7,830","551,183"
"Fairfax City",,,"7,367","3,702",427,263,107,164,"12,030"
"Falls Church City",,,"5,819","1,324",237,228,70,79,"7,757"
"Fauquier County",,,"12,971","22,127","1,191",597,267,314,"37,467"
"Floyd County",,,"2,300","5,293",185,91,107,75,"8,051"
